ID,Number,Stream,Sample_Name,Site_Code,Date,Time,BOTTLE_NOTES,SAMPLE_TTYPE,Temp,Chla,Turbidity,TSS,DOC,DTN,pH,ANC,SC,Na,NH4,K,Mg,Ca,F,Cl,NO3,PO4,SO4,NO3_N,NH4_N,DIN,DON,ANC,H,Ca,Mg,Na,K,NH4,F,CL,NO3,PO4,SO4,ANIONS,CATIONS,ION,DIFF,BASES,ACIDS,ALK,%ION,DIFF,%_COND,COND,LAB_NOTES
FCW 481,481,Long Draw Reservoir,LNGR_060921,LNGR,6/9/2021,9:45,,NORM,4.9,0.48,4.1,1,5.28,0.53,6.69,175.94,30.63,0.8,0.02,0.48,0.71,4.62,0.11,0.55,0.53,0,3.1,0.12,0.02,0.14,0.39,175.94,0.2,230.59,58.75,34.84,12.15,1.22,5.63,15.58,8.55,0,64.58,270.27,337.76,608.03,-11.1,336.33,88.7,247.63,OK,2.97,OK,31.54,
FCW 482,482,Long Draw Reservoir Outflow,LNGO_060921,LNGO,6/9/2021,10:15,,NORM,5.8,0.64,3,-1,4.32,0.53,6.82,218.84,33.55,0.81,0,0.48,0.76,4.79,0.09,0.34,0.52,0,3.5,0.12,0,0.12,0.41,218.84,0.15,238.82,62.21,35.41,12.28,0.17,4.47,9.62,8.42,0,72.77,314.13,349.03,663.16,-5.26,348.72,90.81,257.9,OK,1.51,OK,34.06,
FCW 483,483,Peterson Reservoir Outflow,PTRO_060921,PTRO,6/9/2021,11:00,,NORM,13.8,4.6,2.5,3,7.14,0.44,6.79,163.76,41.51,1.39,0.01,1.22,0.86,5.65,0.01,0.68,0.01,0,6.52,0,0,0.01,0.43,163.76,0.16,281.79,70.77,60.64,31.31,0.28,0.74,19.17,0.13,0,135.72,319.52,444.93,764.45,-16.41,444.5,155.02,289.48,OK,-0.05,OK,41.49,
FCW 484,484,Peterson Reservoir,PTRR_060921,PTRR,6/9/2021,11:21,,NORM,15.7,4.79,3.4,6,7,0.48,6.8,178.19,39.37,1.37,0.01,1.19,0.77,5.05,0.03,0.67,0.01,0,6.61,0,0.01,0.01,0.47,178.19,0.16,251.8,63.36,59.5,30.41,0.72,1.68,19.02,0.15,0,137.68,336.72,405.95,742.67,-9.32,405.07,156.85,248.23,OK,2.24,OK,40.25,
FCW 485,485,Joe Wright Reservoir Inflow,JOEI_060921,JOEI,6/9/2021,12:12,,NORM,9,0.18,3.9,2,4.38,0.33,6.96,269.76,32.2,1.07,0,0.49,1,4.33,0.06,0.26,0.18,0,1.98,0.04,0,0.04,0.29,269.76,0.11,216.17,82.45,46.5,12.4,0.11,3,7.39,2.88,0,41.22,324.25,357.75,682,-4.91,357.52,51.49,306.03,OK,4.86,OK,33.76,
FCW 486,486,Joe Wright Reservoir,JOER_060921,JOER,6/9/2021,12:54,,NORM,6.4,0.47,3,1,3.61,0.34,6.97,371.16,45.22,1.41,0,0.59,1.26,5.83,0.03,0.53,0.04,0,3.22,0.01,0,0.01,0.33,371.16,0.11,291.12,103.76,61.11,15.12,0.11,1.53,15.08,0.63,0,67.12,455.52,471.33,926.85,-1.71,471.11,82.83,388.28,OK,2.25,OK,46.24,
FCW 487,487,Chambers Lake Inflow,CBRI_060921,CBRI,6/9/2021,13:31,,NORM,7.5,0.36,3.6,6,3.97,0.43,6.97,296.85,39.22,1.34,0.03,0.64,0.95,5.14,0.05,0.41,0.14,0,2.66,0.03,0.03,0.06,0.37,296.85,0.11,256.44,78.01,58.33,16.47,1.91,2.47,11.64,2.18,0,55.28,368.43,411.26,779.69,-5.49,409.25,69.1,340.15,OK,-0.3,OK,39.1,
FCW 488,488,Barnes Meadow Reservoir Outflow,BMD_060921,BMD,6/9/2021,13:52,,NORM,,2.17,6.4,5,7.43,0.68,6.91,429.3,75.84,2.22,0.17,1.15,1.46,9.08,0.03,1.27,0.06,0,10.25,0.01,0.13,0.15,0.54,429.3,0.12,452.99,120.3,96.35,29.44,9.42,1.32,35.84,1,0,213.5,680.95,708.63,1389.58,-1.99,699.08,250.33,448.75,OK,-3.21,OK,73.41,
FCW 489,489,Barnes Meadow Reservoir,BRNR_060921,BRNR,6/9/2021,14:22,,NORM,,1.83,3,3,7.39,0.5,7.09,426.01,68.78,2.22,0.02,1.17,1.53,9.51,0.02,1.28,0.03,0,10.33,0.01,0.01,0.02,0.48,426.01,0.08,474.65,125.82,96.39,29.9,1.05,0.95,36.04,0.52,0,215.05,678.57,727.89,1406.46,-3.51,726.76,251.61,475.15,OK,7.79,OK,74.13,
FCW 490,490,Chambers Lake,CBRR_060921,CBRR,6/9/2021,15:00,,NORM,,1.18,3.1,2,4.18,0.74,7.03,351.74,51.85,1.45,0.02,0.86,1.3,6.59,0.02,0.69,0.01,0,4.98,0,0.02,0.02,0.72,351.74,0.09,328.94,106.56,63.2,22,1.23,1,19.34,0.13,0,103.61,475.82,522.02,997.84,-4.63,520.7,123.08,397.62,OK,-1.56,OK,51.04,
FCW 491,491,Chambers Lake Outflow,CHD_060921,CHD,6/9/2021,15:15,,NORM,,1.54,3.5,2.11,4.08,0.46,7.02,332.64,47.93,1.46,0.01,0.84,1.17,6.12,0.03,0.77,0.3,0,4.7,0.07,0.01,0.07,0.38,332.64,0.1,305.19,96.11,63.68,21.41,0.5,1.63,21.62,4.77,0,97.89,458.56,486.98,945.54,-3.01,486.39,124.28,362.11,OK,1.24,OK,48.52,
FCW 492,492,Chambers Lake Outflow,CHD_060921,CHD,6/9/2021,15:15,,DUPLICATE,,1.56,3.8,3.06,4.03,0.44,7.01,350.57,49.31,1.47,0.01,0.83,1.18,6.25,0.03,0.64,0.29,0,4.7,0.07,0.01,0.07,0.37,350.57,0.1,311.93,97.1,63.81,21.31,0.5,1.63,18.03,4.75,0,97.79,472.77,494.74,967.51,-2.27,494.14,120.57,373.57,OK,0.22,OK,49.42,
FCW 509,509,Long Draw Reservoir,LNGR_061621,LNGR,6/16/2021,9:40,,NORM,,0.47,,2,4.41,0.54,6.59,202.93,32.63,0.84,0.03,0.5,0.78,4.84,0.21,0.23,0.57,0,3.95,0.13,0.02,0.15,0.39,202.93,0.26,241.52,64.43,36.36,12.89,1.72,11.26,6.37,9.25,0,82.14,311.95,357.18,669.14,-6.76,355.2,97.77,257.44,OK,5.21,OK,34.33,
